,Feature,Comparison,U,p,r,Sig
0,GC content (%),Thermophile vs Halophile,16.0,1.46e-10,-0.964,***
1,GC content (%),Thermophile vs Acidophile,155.0,0.0535,+0.476,ns
2,GC content (%),Thermophile vs Mesophile,583.0,0.00456,+0.440,**
3,GC content (%),Halophile vs Acidophile,210.0,1.94e-07,+1.000,***
4,GC content (%),Halophile vs Mesophile,805.0,1.72e-10,+0.988,***
5,GC content (%),Acidophile vs Mesophile,108.0,0.588,+0.143,ns
6,Gene count,Thermophile vs Halophile,87.0,8.35e-08,-0.807,***
7,Gene count,Thermophile vs Acidophile,57.0,0.0654,-0.457,ns
8,Gene count,Thermophile vs Mesophile,253.0,0.0155,-0.375,*
9,Gene count,Halophile vs Acidophile,181.0,0.00197,+0.724,**
10,Gene count,Halophile vs Mesophile,525.0,0.0562,+0.296,ns
11,Gene count,Acidophile vs Mesophile,79.0,0.531,-0.164,ns
12,TE count,Thermophile vs Halophile,202.5,0.000254,-0.550,***
13,TE count,Thermophile vs Acidophile,22.0,0.00134,-0.790,**
14,TE count,Thermophile vs Mesophile,224.5,0.00398,-0.446,**
15,TE count,Halophile vs Acidophile,58.0,0.0711,-0.448,ns
16,TE count,Halophile vs Mesophile,373.5,0.62,-0.078,ns
17,TE count,Acidophile vs Mesophile,114.0,0.418,+0.206,ns
18,Genome size (MB),Thermophile vs Halophile,77.0,3.64e-08,-0.829,***
19,Genome size (MB),Thermophile vs Acidophile,49.0,0.0314,-0.533,*
20,Genome size (MB),Thermophile vs Mesophile,180.0,0.000333,-0.556,***
21,Genome size (MB),Halophile vs Acidophile,186.0,0.000806,+0.771,***
22,Genome size (MB),Halophile vs Mesophile,500.0,0.131,+0.235,ns
23,Genome size (MB),Acidophile vs Mesophile,73.0,0.379,-0.228,ns
24,Avg gene length (bp),Thermophile vs Halophile,526.0,0.264,+0.169,ns
25,Avg gene length (bp),Thermophile vs Acidophile,158.0,0.0398,+0.505,*
26,Avg gene length (bp),Thermophile vs Mesophile,466.0,0.334,+0.151,ns
27,Avg gene length (bp),Halophile vs Acidophile,150.0,0.0845,+0.429,ns
28,Avg gene length (bp),Halophile vs Mesophile,348.0,0.367,-0.141,ns
29,Avg gene length (bp),Acidophile vs Mesophile,58.0,0.127,-0.386,ns
30,GC3,Thermophile vs Halophile,8.0,6.7e-11,-0.982,***
31,GC3,Thermophile vs Acidophile,150.0,0.0845,+0.429,ns
32,GC3,Thermophile vs Mesophile,558.0,0.0148,+0.378,*
33,GC3,Halophile vs Acidophile,210.0,1.94e-07,+1.000,***
34,GC3,Halophile vs Mesophile,799.0,3.2e-10,+0.973,***
35,GC3,Acidophile vs Mesophile,103.0,0.739,+0.090,ns
