assembly_id,organism,environment,genome_size_mb,gc_content,gene_count,te_count,avg_gene_length,gc3
GCF_982480525.1,Halorubrum sodomense (euryarchaeotes),halophile,3.019879,69.03846147478095,3023,20,1870.98478332782,0.7494332521091932
GCF_982480775.1,Halorubrum salinarum (euryarchaeotes),halophile,2.879617,70.7568402325726,2922,12,1861.7973990417522,0.7655268482413025
GCF_982480755.1,Halorubrum salinarum (euryarchaeotes),halophile,3.047659,69.67908811320427,3041,23,1886.5942124301216,0.7513771101133795
GCF_982480845.1,Halorubrum salinarum (euryarchaeotes),halophile,2.834105,70.62635294034625,2844,4,1881.5193389592123,0.7596213792979718
GCF_982480225.1,Halorubrum salinarum (euryarchaeotes),halophile,2.820192,70.78979019868152,2825,8,1886.1713274336282,0.7591894853122505
GCF_982480975.1,Halorubrum sodomense (euryarchaeotes),halophile,2.938213,69.14335346007931,2976,23,1843.7399193548388,0.7332555434836693
GCF_057584465.1,Halobacterium sp. CBA1161 (euryarchaeotes),halophile,3.421204,68.69148989653935,3409,35,873.0404810794954,0.8173645089299214
GCF_057073995.1,Methanococcus maripaludis (euryarchaeotes),thermophile,1.771462,33.04383610825409,1863,5,849.0010735373054,0.3434637714970705
GCF_055396515.1,Thermococcus sp. JCM 11816 (euryarchaeotes),thermophile,2.096235,51.87118810629533,2295,9,1749.7712418300653,0.5619396534657534
GCF_055396225.1,Halorubrum tibetense (euryarchaeotes),halophile,3.154754,65.91623308822177,3058,66,1929.5019620667103,0.7077076547769522
GCF_055395675.1,Halalkalicoccus tibetensis (euryarchaeotes),halophile,2.933625,66.76088457113639,3147,4,1762.0413091833493,0.731403530127815
GCF_055394095.1,Methanosarcina baltica (euryarchaeotes),mesophile,3.669817,45.06437241966017,3040,168,2139.0549342105264,0.4828882112227056
GCF_055393685.1,Thermococcus aegaeus (euryarchaeotes),thermophile,1.913926,42.96357330429703,2054,15,1788.7000973709835,0.45367166913945983
