accession,group,genome_size_mb,gc_content,gene_count,avg_gene_len,te_count,gc3
thermophile_NC_001869,thermophile,0.191346,57.908709876349654,203,753.18,28,0.679982736959921
thermophile_NC_000868,thermophile,1.765118,44.71389448184201,1917,734.37,8,0.4878370747586651
thermophile_NC_003901,thermophile,4.096345,41.484909107997495,3448,913.65,105,0.3930849087826973
thermophile_NC_007181,thermophile,2.225959,36.70759434472962,2319,765.75,7,0.2906227651970152
thermophile_NC_007955,thermophile,2.575032,40.758095433377136,2573,708.24,121,0.40911559956025284
thermophile_NC_002689,thermophile,1.584804,39.918500962895095,1614,877.32,47,0.41018961781209096
thermophile_NC_009516,thermophile,0.013956,38.28460877042132,17,651.5294117647059,1,0.3449715634984546
thermophile_NC_006177,thermophile,3.566135,68.6684043088666,3283,1047.25,66,0.8936148512072545
thermophile_NC_007355,thermophile,4.837408,39.2760337767664,3995,830.15,161,0.31531699616930875
thermophile_NC_007481,thermophile,3.214944,40.23482213064987,2851,943.5,23,0.32789367396890623
thermophile_NC_008553,thermophile,1.879471,53.54527949619866,1772,776.73,26,0.6649027734251242
thermophile_NC_007796,thermophile,3.544738,45.14903499214893,3386,1037.66,92,0.43138946695882185
thermophile_NC_009777,thermophile,0.089008,43.78932230810714,96,715.46875,18,0.4507405358726585
thermophile_NC_005945,thermophile,5.228663,35.3794459501406,5384,899.59,17,0.24214905208144938
thermophile_NC_008698,thermophile,1.781889,57.66565706393608,1879,742.47,1,0.7389026414713161
thermophile_NC_010005,thermophile,0.134144,28.256202290076338,103,968.76,0,0.21375479321843932
thermophile_NC_010006,thermophile,0.098136,29.260414119181544,75,918.28,0,0.21574156677541886
thermophile_NC_010007,thermophile,0.016677,45.95550758529712,13,879.5384615384615,0,0.43118476928173427
thermophile_NC_008818,thermophile,1.667163,53.736737199661945,1778,797.42,1,0.5191163293328587
thermophile_NC_010010,thermophile,0.026587,35.49855192387257,21,726.8571428571429,0,0.2958160389787629
thermophile_NC_010004,thermophile,0.14059,27.86115655452024,105,1022.19,0,0.2090625416396806
thermophile_NC_009776,thermophile,1.297538,56.52034853699853,1484,881.73,0,0.666199504928926
thermophile_NC_009779,thermophile,0.031208,51.58292745449885,36,718.0833333333334,1,0.5747521182840978
thermophile_NC_009784,thermophile,2.204018,45.27118199579132,2023,982.18,254,0.47027838922561893
halophile_NC_002730,halophile,0.038297,46.68773010940805,58,587.5344827586207,0,0.4723388523652271
thermophile_NC_009785,thermophile,2.196662,40.50677801136452,2057,909.18,9,0.3150745111485344
thermophile_NC_009778,thermophile,4.368373,56.767084678895316,4052,808.01,7,0.556609449547929
thermophile_NC_010003,thermophile,2.169548,34.12319063694373,2012,908.46,45,0.2867655028527147
halophile_NC_002764,halophile,0.016586,43.06644157723381,13,876.6153846153846,0,0.4292953056839923
thermophile_NC_009635,thermophile,1.5695,30.03746416056069,1524,904.26,9,0.2195747098313296
thermophile_NC_008709,thermophile,4.559598,40.08627514969522,3837,1048.56,94,0.329295226760909
halophile_NC_006401,halophile,0.016636,46.597739841308005,13,878.7692307692307,0,0.4386266853959675
halophile_NC_006398,halophile,0.01656,46.93840579710145,13,879.8461538461538,0,0.4664974151402808
thermophile_NC_009634,thermophile,1.720048,31.328311768043683,1725,928.86,2,0.21687211590605807
halophile_NC_006407,halophile,0.016285,39.619281547436294,13,875.8461538461538,0,0.3501812321424595
halophile_NC_006408,halophile,0.016473,39.13069871911613,11,849.0909090909091,0,0.3392911945769546
halophile_NC_002745,halophile,2.814816,32.843496697475075,2705,960.39,23,0.24109321311289011
halophile_NC_002607,halophile,2.014239,67.91304308972272,2130,791.85,29,0.6881944429254969
halophile_NC_002784,halophile,0.016711,42.911854467117465,13,876.1538461538462,0,0.3865953885794803
halophile_NC_002754,halophile,2.992245,35.787176517965605,3169,830.81,314,0.30742755347221484
halophile_NC_006406,halophile,0.016707,38.7921230621895,13,868.2307692307693,0,0.27378169256381246
halophile_NC_006422,halophile,0.02893,37.106809540269616,35,609.8285714285714,0,0.3596064120725844
halophile_NC_006423,halophile,0.0262,36.26335877862596,36,583.9166666666666,0,0.3537020352927194
halophile_NC_006424,halophile,0.026476,37.101525910258346,36,596.8611111111111,1,0.351172216856288
halophile_NC_006396,halophile,3.131724,62.36386092771905,3227,836.01,22,0.7661062948772276
halophile_NC_006425,halophile,0.035422,37.32143865394388,50,580.4,1,0.37169580545977854
halophile_NC_006429,halophile,0.01194,44.42211055276382,5,2165.4,0,0.48672340507740675
acidophile_NC_007578,acidophile,0.152765,37.54917684024482,84,869.1428571428571,0,0.29818547359267245
acidophile_NC_007579,acidophile,0.452528,44.3519517024361,39,925.6153846153846,0,0.37175940810101377
acidophile_NC_007580,acidophile,0.01094,49.74405850091408,1,10293.0,0,0.5243369280093267
acidophile_NC_002946,acidophile,2.153922,52.68965171440748,2181,932.6,85,0.6445236085851811
acidophile_NC_002951,acidophile,2.809422,32.8175332862062,2718,1074.48,27,0.23790157971063372
acidophile_NC_002950,acidophile,2.343476,48.28792784735154,2011,1135.75,93,0.5495780306510174
acidophile_NC_007576,acidophile,1.884661,41.25760547918167,1832,907.09,19,0.40343147832530646
acidophile_NC_007575,acidophile,2.201561,34.46195676613094,2160,995.64,14,0.2574787254316553
acidophile_NC_002952,acidophile,2.902619,32.80716483975334,2805,966.17,39,0.2410664878330194
acidophile_NC_002945,acidophile,4.349904,65.63259786882652,4040,910.05,55,0.7693945225975627
acidophile_NC_007577,acidophile,1.709204,31.210493305655735,1877,931.35,2,0.19207607821486378
