Assembly ID,Organism,Environment,GC content (%),Gene count,TE count,Genome size (MB),Avg gene length (bp),GC3
GCF_031201105.1,Ferroplasma acidiphilum (archaea),acidophile,36.69650064704444,1883,51,1.844541,859.5900159320233,0.3970177747298574
GCF_031200575.1,Ferroplasma sp. (archaea),acidophile,38.68990211998948,1941,71,1.859113,1824.231324059763,0.4030301438479539
GCF_023169565.1,Metallosphaera sedula (crenarchaeotes),acidophile,46.21167305020407,2450,19,2.283739,831.2714285714286,0.523721071370176
GCF_035610555.1,Metallosphaera sedula DSM 5348 (crenarchaeotes),acidophile,46.22357667722222,2370,17,2.190631,824.9637130801688,0.522440023629961
GCF_046245145.1,Metallosphaera sp. D4-4 (crenarchaeotes),acidophile,46.11291247929143,2345,23,2.171806,831.8068230277186,0.5172233475291182
GCF_041154675.1,Sulfurisphaera javensis (crenarchaeotes),acidophile,31.68188333013576,2749,26,2.569661,1763.495452891961,0.3196077569855755
GCF_042851265.1,Sulfurisphaera ohwakuensis (crenarchaeotes),acidophile,32.594685137398706,2938,64,2.761125,807.5541184479238,0.3354424617625637
GCF_026248685.1,Haladaptatus caseinilyticus (euryarchaeotes),halophile,59.1241019265029,2819,2,2.647751,826.6601631784321,0.6853527570833993
GCF_029489995.1,Haladaptatus sp. DYSN1 (euryarchaeotes),halophile,62.200445155604775,3203,14,3.004792,839.7180768029972,0.727815323731137
GCF_029338295.1,Haladaptatus sp. QDMS2 (euryarchaeotes),halophile,62.1371332292962,3161,22,2.952151,2698.6010756089845,0.6506869717850434
GCF_049568665.1,Haladaptatus sp. SPP-AMP-3 (euryarchaeotes),halophile,52.403187772634055,284,10,0.299394,823.1549295774648,0.594086469976772
GCF_029338255.1,Haloarcula halobia (euryarchaeotes),halophile,66.52322415366831,3492,30,3.354654,840.8871706758305,0.7877178876000871
GCF_030127105.1,Haloarcula pelagica (euryarchaeotes),halophile,66.27078445359416,3693,21,3.529922,860.670457622529,0.7756751144461749
GCF_029338235.1,Haloarcula rara (euryarchaeotes),halophile,65.55079675728008,3208,9,3.034613,1774.1458852867831,0.7120279920805774
GCF_029338315.1,Haloarcula regularis (euryarchaeotes),halophile,66.47880962265089,3732,37,3.502486,815.9469453376206,0.7765530696805916
GCF_055632455.1,Haloarcula sp. MBLA0138 (euryarchaeotes),halophile,68.88508741839028,3024,22,2.880172,1814.228835978836,0.7478795474691002
GCF_055632435.1,Haloarcula sp. MBLA0163 (euryarchaeotes),halophile,67.74391472619543,3484,22,3.319941,855.3837543053961,0.8011947101760758
GCF_055390035.1,Halobacterium rubrum (euryarchaeotes),halophile,68.96474003303194,3036,16,2.897195,1813.2483530961792,0.7490824275683172
GCF_037094595.1,Halobacterium salinarum (euryarchaeotes),halophile,68.06902430492623,2064,15,1.969683,868.5431201550388,0.7928461934948356
GCF_030345255.1,Halobacterium salinarum (euryarchaeotes),halophile,68.2066270136788,2060,12,1.959163,867.0383495145632,0.7943862914116406
GCF_037482175.1,Halobacterium salinarum (euryarchaeotes),halophile,68.20708525860138,2055,12,1.959251,868.5936739659368,0.7945696109985966
GCF_040435975.1,Halobacterium sp. NMX12-1 (euryarchaeotes),halophile,67.94422288509413,2828,47,2.614549,1758.4982319660537,0.7391810558307408
GCF_052598275.1,Halococcus saccharolyticus (euryarchaeotes),halophile,64.33349132980499,3347,21,3.305981,1852.8261129369585,0.6906272857800775
GCF_029232225.1,Haloferax volcanii (euryarchaeotes),halophile,66.91273983876398,2982,15,2.845766,831.2149564050973,0.7869902266331811
GCF_029225785.1,Haloferax volcanii (euryarchaeotes),halophile,67.04608968726141,2870,16,2.77676,842.4648083623694,0.7890802971874395
GCF_029229925.1,Halorhabdus sp. BNX81 (euryarchaeotes),halophile,63.42156416038143,2807,10,2.828981,888.6775917349484,0.7420436054797288
GCF_055389685.1,Halorubrum ejinorense (euryarchaeotes),halophile,68.40181582715238,3140,21,3.145013,1877.680573248408,0.7408783692676084
GCF_050871145.1,Halorubrum ezzemoulense (euryarchaeotes),halophile,68.46557757721675,3103,75,3.062742,862.6232678053497,0.8028172329115031
GCF_023702125.1,Halorubrum hochsteinianum (euryarchaeotes),halophile,69.44724656352167,2946,43,2.962044,879.3238289205702,0.8244081293261887
GCF_982480225.1,Halorubrum salinarum (euryarchaeotes),halophile,70.78979019868152,2825,8,2.820192,1886.171327433628,0.7591894853122505
GCF_982480525.1,Halorubrum sodomense (euryarchaeotes),halophile,69.03846147478095,3023,20,3.019879,1870.98478332782,0.7494332521091932
GCF_982480975.1,Halorubrum sodomense (euryarchaeotes),halophile,69.14335346007931,2976,23,2.938213,1843.7399193548388,0.7332555434836693
GCF_051122765.1,Halorubrum sp. AS12 (euryarchaeotes),halophile,68.10413146833206,2896,15,2.889578,864.3011049723757,0.7842501675271789
GCF_055396225.1,Halorubrum tibetense (euryarchaeotes),halophile,65.91623308822177,3058,66,3.154754,1929.5019620667103,0.7077076547769522
GCF_055381185.1,Halorubrum yunnanense (euryarchaeotes),halophile,68.37823173342737,2847,96,2.832729,1847.8268352651917,0.7377403304677588
GCF_024498195.1,Halovivax cerinus (euryarchaeotes),halophile,64.95759279914174,3669,19,3.902757,892.8743526846553,0.7582810961789418
GCF_030734285.1,Natronococcus wangiae (euryarchaeotes),halophile,64.85496661278039,4086,29,4.145149,850.1607929515418,0.772739599202689
GCF_030323845.1,Methanobacterium aridiramus (euryarchaeotes),mesophile,44.14794300128443,2127,6,1.983764,1760.6901739539258,0.4726818592549394
GCF_030296715.1,Methanobacterium ferruginis (euryarchaeotes),mesophile,37.387193152713984,2810,17,2.803797,1824.4982206405691,0.3935142271284514
GCF_055380485.1,Methanobacterium flexile (euryarchaeotes),mesophile,34.49644275058625,2208,1,2.26439,1864.9252717391305,0.3690147473884985
GCF_055381305.1,Methanobacterium kanagiense (euryarchaeotes),mesophile,37.80528251753435,2162,12,2.131673,851.1720629047179,0.4236497611711579
GCF_055387505.1,Methanobacterium movilense (euryarchaeotes),mesophile,33.064816684490914,3171,71,3.209112,1824.4210028382213,0.3471220820490269
GCF_047495555.1,Methanobacterium nebraskense (euryarchaeotes),mesophile,31.78853625685228,2366,6,2.239949,1747.8579881656806,0.3266070646133846
GCF_030296735.1,Methanobacterium petrolearium (euryarchaeotes),mesophile,37.80879957797772,2619,16,2.515507,803.9965635738831,0.4271973598337926
GCF_049677355.1,Methanobacterium sp. MBAC-LM (euryarchaeotes),mesophile,33.44739789816945,3073,7,3.168381,819.1864627399935,0.3672217342754347
GCF_046197875.1,Methanobrevibacter acididurans (euryarchaeotes),mesophile,27.46539570974658,1611,19,1.679994,883.4432029795158,0.2881907556364985
GCF_047402955.1,Methanobrevibacter intestini (euryarchaeotes),mesophile,30.31210430768784,1815,28,1.995711,2089.592286501377,0.3100097373910278
GCF_028743435.1,Methanobrevibacter smithii ATCC 35061 (euryarchaeotes),mesophile,31.034233417513867,1768,25,1.85316,1993.75056561086,0.3261734890581023
GCF_046197865.1,Methanobrevibacter sp. DSM 116169 (euryarchaeotes),mesophile,26.40269343750065,1827,10,1.924084,943.6617405582924,0.2554664253771598
GCF_023617305.1,Methanobrevibacter sp. TLL-48-HuF1 (euryarchaeotes),mesophile,30.34772560142872,1786,22,1.951395,988.4647256438968,0.295821990204975
GCF_033472595.1,Methanoculleus receptaculi (euryarchaeotes),mesophile,59.0942853925583,2033,46,1.980381,843.7993113625184,0.6741073536535673
GCF_025914035.1,Methanoculleus submarinus (euryarchaeotes),mesophile,62.06856082848666,2453,6,2.462514,873.0375050958011,0.7311589360834794
GCF_055394095.1,Methanosarcina baltica (euryarchaeotes),mesophile,45.06437241966017,3040,168,3.669817,2139.0549342105264,0.4828882112227056
GCF_046529725.1,Methanosarcina hadiensis (euryarchaeotes),mesophile,41.17407066607412,3656,54,4.338376,2081.9354485776807,0.4361559608619823
GCF_052057765.1,Methanosarcina mangrovi (euryarchaeotes),mesophile,43.32302431221757,4388,72,5.07646,2023.17935278031,0.4620675252490606
GCF_049677325.1,Methanosarcina mazei (euryarchaeotes),mesophile,41.197782284764095,3625,111,4.221101,2046.5255172413792,0.4378726221234067
GCF_030247815.1,Methanosarcina mazei (euryarchaeotes),mesophile,41.49992657137263,3452,103,4.0856,900.989281575898,0.4771758736773061
GCF_052056915.1,Methanosarcina sediminis (euryarchaeotes),mesophile,46.20737018595108,3550,28,4.146951,902.2664788732394,0.5474712413293147
GCF_055385895.1,Methanosarcina subterranea (euryarchaeotes),mesophile,41.18068661312044,4325,222,5.061919,859.2460115606937,0.4732824797230042
GCF_034480035.2,Methanosphaera sp. ISO3-F5 (euryarchaeotes),mesophile,30.84806172597129,2161,52,2.506044,986.8644146228598,0.3266349684189795
GCF_054515835.1,Nitrosopumilus sp. S4 (archaea),mesophile,33.4072508955623,1994,2,1.701445,1625.5802407221663,0.337958181084493
GCF_025998175.1,Nitrosopumilus zosterae (archaea),mesophile,33.91466841534783,2080,5,1.775052,1610.345673076923,0.3399348860954496
GCF_025244945.1,Nitrososphaera viennensis (archaea),mesophile,52.68801601696848,2947,23,2.522325,729.9477434679335,0.608127199117494
GCF_024760425.1,Nitrososphaera viennensis (archaea),mesophile,52.69903884518641,2944,22,2.521342,730.7099184782609,0.6083364594940222
GCF_055392325.1,Acidilobus aceticus (crenarchaeotes),thermophile,57.10228850514798,1500,2,1.494469,1903.964,0.6093777081685454
GCF_039641995.1,Geoglobus acetivorans (euryarchaeotes),thermophile,46.54246181551881,2184,10,1.903522,2547.9253663003665,0.4853185126641137
GCF_055386235.1,Methanocaldococcus indicus (euryarchaeotes),thermophile,28.220598653037737,1547,21,1.414442,1764.987718164189,0.282012037682032
GCF_049554935.1,Methanocaldococcus indicus (euryarchaeotes),thermophile,28.22024856235589,1544,22,1.414293,1768.2150259067355,0.2849312720252033
GCF_025449255.1,Methanococcus aeolicus (euryarchaeotes),thermophile,29.928570491936167,1609,11,1.677738,1922.178371659416,0.3046943279094017
GCF_057073995.1,Methanococcus maripaludis (euryarchaeotes),thermophile,33.04383610825409,1863,5,1.771462,849.0010735373054,0.3434637714970705
GCF_049075655.1,Methanothermococcus jasoni (euryarchaeotes),thermophile,31.868705455612563,1690,24,1.662948,854.3668639053254,0.3409233991360664
GCF_055384425.1,Pyrobaculum organotrophum (crenarchaeotes),thermophile,49.48442591730501,2244,15,1.89032,1593.6751336898396,0.5169187250220628
GCF_050496105.1,Pyrococcus woesei (euryarchaeotes),thermophile,40.70896657967525,2000,33,1.856505,1783.4715,0.4227052368104104
GCF_055382135.1,Pyrococcus woesei (euryarchaeotes),thermophile,40.70885885036669,2000,32,1.856505,1783.776,0.4236909578185139
GCF_036323395.1,Pyrodictium abyssi (crenarchaeotes),thermophile,59.17254550923268,2401,4,2.224219,1710.682632236568,0.6289038020208689
GCF_055379715.1,Pyrodictium brockii (crenarchaeotes),thermophile,63.56427106651048,1709,4,1.639937,1813.286717378584,0.6771287728734537
GCF_038747945.1,Sulfolobus tengchongensis (crenarchaeotes),thermophile,35.289323284815296,2887,102,2.731149,1784.2095600969865,0.3616939861430149
GCF_055393685.1,Thermococcus aegaeus (euryarchaeotes),thermophile,42.96357330429703,2054,15,1.913926,1788.7000973709837,0.4536716691394598
GCF_055392585.1,Thermococcus coalescens (euryarchaeotes),thermophile,54.27633212552578,2322,8,2.134446,1763.944013781223,0.5840606524044744
GCF_059089475.1,Thermococcus eurythermalis (euryarchaeotes),thermophile,53.46538245355815,2281,11,2.122493,1779.580447172293,0.5825222125158713
GCF_028471865.1,Thermococcus kodakarensis (euryarchaeotes),thermophile,51.997450053524815,2300,9,2.078475,1732.069130434783,0.5638248202446541
GCF_028471785.1,Thermococcus kodakarensis (euryarchaeotes),thermophile,51.98892267447602,2304,9,2.085702,1735.377170138889,0.5639737208182082
GCF_056733315.1,Thermococcus kodakarensis (euryarchaeotes),thermophile,52.03220367251438,2294,9,2.074546,829.4721011333914,0.6068195362828844
GCF_056733395.1,Thermococcus kodakarensis (euryarchaeotes),thermophile,51.99581867024461,2295,9,2.074938,829.3808278867102,0.6062253338208778
GCF_055389025.1,Thermococcus marinus (euryarchaeotes),thermophile,53.73896096161863,2280,10,2.082156,1749.2912280701755,0.585478828870843
